Customer ID,Age,Age Group,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,55,46-55,Male,Blouse,Clothing,$53.00 ,Kentucky,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly
2,19,18-25,Male,Sweater,Clothing,$64.00 ,Maine,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly
3,50,46-55,Male,Jeans,Clothing,$73.00 ,Massachusetts,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly
4,21,18-25,Male,Sandals,Footwear,$90.00 ,Rhode Island,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly
5,45,36-45,Male,Blouse,Clothing,$49.00 ,Oregon,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually
6,46,46-55,Male,Sneakers,Footwear,$20.00 ,Wyoming,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly
7,63,56-65,Male,Shirt,Clothing,$85.00 ,Montana,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
8,27,26-35,Male,Shorts,Clothing,$34.00 ,Louisiana,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly
9,26,26-35,Male,Coat,Outerwear,$97.00 ,West Virginia,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually
10,57,56-65,Male,Handbag,Accessories,$31.00 ,Missouri,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
11,53,46-55,Male,Shoes,Footwear,$34.00 ,Arkansas,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly
12,30,26-35,Male,Shorts,Clothing,$68.00 ,Hawaii,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly
13,61,56-65,Male,Coat,Outerwear,$72.00 ,Delaware,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly
14,65,56-65,Male,Dress,Clothing,$51.00 ,New Hampshire,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly
15,64,56-65,Male,Coat,Outerwear,$53.00 ,New York,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly
16,64,56-65,Male,Skirt,Clothing,$81.00 ,Rhode Island,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly
17,25,18-25,Male,Sunglasses,Accessories,$36.00 ,Alabama,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly
18,53,46-55,Male,Dress,Clothing,$38.00 ,Mississippi,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly
19,52,46-55,Male,Sweater,Clothing,$48.00 ,Montana,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly
20,66,65+,Male,Pants,Clothing,$90.00 ,Rhode Island,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
21,21,18-25,Male,Pants,Clothing,$51.00 ,Louisiana,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months
22,31,26-35,Male,Pants,Clothing,$62.00 ,North Carolina,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly
23,56,56-65,Male,Pants,Clothing,$37.00 ,California,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually
24,31,26-35,Male,Pants,Clothing,$88.00 ,Oklahoma,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly
25,18,18-25,Male,Jacket,Outerwear,$22.00 ,Florida,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly
